interaction_id,user_id,destination_id,event_type,rating,timestamp
INT_000056,USR_00975,DEST_0028,viewed,,2026-05-27T11:09:43Z
INT_000057,USR_00763,DEST_0008,viewed,,2025-11-08T11:09:43Z
INT_000058,USR_00231,DEST_0209,bookmarked,,2026-05-28T11:09:43Z
INT_000059,USR_00771,DEST_0105,bookmarked,,2025-12-23T11:09:43Z
INT_000060,USR_00409,DEST_0128,viewed,,2025-08-16T11:09:43Z
INT_000061,USR_00365,DEST_0220,viewed,,2026-01-14T11:09:43Z
INT_000062,USR_00371,DEST_0017,viewed,,2026-05-09T11:09:43Z
INT_000063,USR_00227,DEST_0214,viewed,,2025-08-23T11:09:43Z
INT_000064,USR_00188,DEST_0009,bookmarked,,2026-02-01T11:09:43Z
INT_000065,USR_00401,DEST_0265,viewed,,2025-07-11T11:09:43Z
INT_000066,USR_00859,DEST_0142,bookmarked,,2025-07-09T11:09:43Z
INT_000067,USR_00074,DEST_0003,bookmarked,,2026-04-01T11:09:43Z
INT_000068,USR_00833,DEST_0208,viewed,,2025-09-30T11:09:43Z
INT_000069,USR_00237,DEST_0008,viewed,,2026-05-10T11:09:43Z
INT_000070,USR_00369,DEST_0147,bookmarked,,2025-10-06T11:09:43Z
INT_000071,USR_00193,DEST_0005,viewed,,2025-10-04T11:09:43Z
INT_000072,USR_00666,DEST_0181,bookmarked,,2025-10-02T11:09:43Z
INT_000073,USR_00468,DEST_0100,bookmarked,,2025-08-27T11:09:43Z
INT_000074,USR_00079,DEST_0105,viewed,,2025-07-04T11:09:43Z
INT_000075,USR_00495,DEST_0018,bookmarked,,2026-04-30T11:09:43Z
INT_000076,USR_00462,DEST_0004,viewed,,2025-10-14T11:09:43Z
INT_000077,USR_00545,DEST_0251,bookmarked,,2025-12-17T11:09:43Z
INT_000078,USR_00026,DEST_0153,reviewed,3,2026-03-23T11:09:43Z
INT_000079,USR_00752,DEST_0237,viewed,,2026-02-27T11:09:43Z
INT_000080,USR_00155,DEST_0005,booked,,2026-06-20T11:09:43Z
INT_000081,USR_00506,DEST_0084,booked,,2025-08-21T11:09:43Z
INT_000082,USR_00049,DEST_0140,bookmarked,,2025-08-31T11:09:43Z
INT_000083,USR_00008,DEST_0202,booked,,2025-12-19T11:09:43Z
INT_000084,USR_00413,DEST_0107,viewed,,2026-06-07T11:09:43Z
INT_000085,USR_00613,DEST_0198,reviewed,4,2025-07-22T11:09:43Z
INT_000086,USR_00202,DEST_0258,bookmarked,,2026-05-22T11:09:43Z
INT_000087,USR_00063,DEST_0113,viewed,,2025-09-13T11:09:43Z
INT_000088,USR_00655,DEST_0157,viewed,,2025-11-21T11:09:43Z
INT_000089,USR_00552,DEST_0134,viewed,,2026-01-31T11:09:43Z
INT_000090,USR_00944,DEST_0008,bookmarked,,2026-01-18T11:09:43Z
INT_000091,USR_00742,DEST_0015,viewed,,2025-09-07T11:09:43Z
INT_000092,USR_00289,DEST_0062,bookmarked,,2026-02-16T11:09:43Z
INT_000093,USR_00642,DEST_0140,viewed,,2025-07-19T11:09:43Z
INT_000094,USR_00489,DEST_0176,viewed,,2026-01-30T11:09:43Z
INT_000095,USR_00194,DEST_0139,viewed,,2026-03-25T11:09:43Z
INT_000096,USR_00716,DEST_0161,bookmarked,,2026-05-07T11:09:43Z
INT_000097,USR_00156,DEST_0068,viewed,,2026-04-28T11:09:43Z
INT_000098,USR_00039,DEST_0177,viewed,,2025-11-26T11:09:43Z
INT_000099,USR_00821,DEST_0080,viewed,,2026-05-14T11:09:43Z
INT_000100,USR_00072,DEST_0260,viewed,,2026-05-14T11:09:43Z
INT_000101,USR_00195,DEST_0151,viewed,,2025-07-03T11:09:43Z
INT_000102,USR_00701,DEST_0245,viewed,,2026-01-01T11:09:43Z
INT_000103,USR_00405,DEST_0179,viewed,,2025-06-29T11:09:43Z
INT_000104,USR_00260,DEST_0005,viewed,,2025-08-29T11:09:43Z
INT_000105,USR_00800,DEST_0083,viewed,,2026-04-21T11:09:43Z
INT_000106,USR_00021,DEST_0002,viewed,,2025-10-25T11:09:43Z
INT_000107,USR_00149,DEST_0169,viewed,,2025-08-24T11:09:43Z
INT_000108,USR_00488,DEST_0065,bookmarked,,2025-09-30T11:09:43Z
INT_000109,USR_00952,DEST_0225,bookmarked,,2025-10-12T11:09:43Z
INT_000110,USR_00265,DEST_0157,viewed,,2025-12-12T11:09:43Z
INT_000111,USR_00410,DEST_0198,viewed,,2025-10-19T11:09:43Z
INT_000112,USR_00234,DEST_0260,reviewed,4,2025-07-11T11:09:43Z
INT_000113,USR_00122,DEST_0095,viewed,,2025-11-15T11:09:43Z
INT_000114,USR_00727,DEST_0105,reviewed,5,2025-08-06T11:09:43Z
INT_000115,USR_00249,DEST_0187,viewed,,2026-01-03T11:09:43Z
INT_000116,USR_00295,DEST_0012,reviewed,5,2025-09-24T11:09:43Z
INT_000117,USR_00024,DEST_0263,viewed,,2026-04-15T11:09:43Z
INT_000118,USR_00850,DEST_0079,viewed,,2026-04-20T11:09:43Z
INT_000119,USR_00444,DEST_0045,viewed,,2025-12-27T11:09:43Z
INT_000120,USR_00791,DEST_0237,viewed,,2025-08-11T11:09:43Z
INT_000121,USR_00087,DEST_0101,bookmarked,,2025-11-04T11:09:43Z
INT_000122,USR_00687,DEST_0026,viewed,,2026-03-01T11:09:43Z
INT_000123,USR_00447,DEST_0148,bookmarked,,2026-01-27T11:09:43Z
INT_000124,USR_00404,DEST_0137,viewed,,2026-06-11T11:09:43Z
INT_000125,USR_00152,DEST_0145,bookmarked,,2025-11-07T11:09:43Z
INT_000126,USR_00139,DEST_0061,bookmarked,,2025-08-10T11:09:43Z
INT_000127,USR_00677,DEST_0084,reviewed,4,2026-05-05T11:09:43Z
INT_000128,USR_00665,DEST_0012,reviewed,4,2026-02-12T11:09:43Z
INT_000129,USR_00475,DEST_0135,viewed,,2026-02-17T11:09:43Z
INT_000130,USR_00406,DEST_0265,viewed,,2025-09-12T11:09:43Z
INT_000131,USR_00915,DEST_0063,bookmarked,,2025-10-07T11:09:43Z
INT_000132,USR_00541,DEST_0001,booked,,2026-02-06T11:09:43Z
INT_000133,USR_00126,DEST_0068,viewed,,2025-08-22T11:09:43Z
INT_000134,USR_00810,DEST_0165,reviewed,3,2026-04-05T11:09:43Z
INT_000135,USR_00859,DEST_0028,viewed,,2025-09-13T11:09:43Z
INT_000136,USR_00359,DEST_0076,viewed,,2025-10-11T11:09:43Z
INT_000137,USR_00039,DEST_0185,reviewed,4,2025-10-16T11:09:43Z
INT_000138,USR_00903,DEST_0067,bookmarked,,2026-02-04T11:09:43Z
INT_000139,USR_00108,DEST_0099,viewed,,2025-08-21T11:09:43Z
INT_000140,USR_00980,DEST_0049,viewed,,2026-03-09T11:09:43Z
INT_000141,USR_00403,DEST_0091,bookmarked,,2025-07-02T11:09:43Z
INT_000142,USR_00327,DEST_0150,reviewed,4,2026-05-01T11:09:43Z
INT_000143,USR_00540,DEST_0011,viewed,,2025-09-03T11:09:43Z
INT_000144,USR_00139,DEST_0137,bookmarked,,2026-05-10T11:09:43Z
INT_000145,USR_00678,DEST_0244,viewed,,2025-08-03T11:09:43Z
INT_000146,USR_00936,DEST_0046,viewed,,2025-07-13T11:09:43Z
INT_000147,USR_00181,DEST_0021,bookmarked,,2026-04-20T11:09:43Z
INT_000148,USR_00771,DEST_0062,bookmarked,,2025-11-20T11:09:43Z
INT_000149,USR_00369,DEST_0175,viewed,,2025-07-08T11:09:43Z
INT_000150,USR_00009,DEST_0010,bookmarked,,2025-07-09T11:09:43Z
INT_000151,USR_00480,DEST_0020,reviewed,4,2026-01-18T11:09:43Z
INT_000152,USR_00373,DEST_0135,viewed,,2025-12-14T11:09:43Z
INT_000153,USR_00880,DEST_0230,viewed,,2025-12-12T11:09:43Z
INT_000154,USR_00674,DEST_0173,bookmarked,,2025-07-18T11:09:43Z
INT_000155,USR_00688,DEST_0185,booked,,2026-06-04T11:09:43Z
INT_000156,USR_00713,DEST_0083,viewed,,2025-08-01T11:09:43Z
INT_000157,USR_00548,DEST_0232,bookmarked,,2025-07-13T11:09:43Z
INT_000158,USR_00693,DEST_0011,viewed,,2026-02-01T11:09:43Z
INT_000159,USR_00923,DEST_0254,booked,,2025-07-17T11:09:43Z
INT_000160,USR_00699,DEST_0149,reviewed,4,2025-07-24T11:09:43Z
INT_000161,USR_00402,DEST_0265,viewed,,2026-03-16T11:09:43Z
INT_000162,USR_00602,DEST_0014,viewed,,2026-02-08T11:09:43Z
INT_000163,USR_00557,DEST_0075,viewed,,2026-04-15T11:09:43Z
INT_000164,USR_00718,DEST_0074,viewed,,2025-11-18T11:09:43Z
INT_000165,USR_00462,DEST_0010,viewed,,2026-06-27T11:09:43Z
INT_000166,USR_00879,DEST_0019,viewed,,2026-06-25T11:09:43Z
INT_000167,USR_00458,DEST_0131,bookmarked,,2025-12-03T11:09:43Z
INT_000168,USR_00829,DEST_0012,reviewed,4,2026-02-07T11:09:43Z
INT_000169,USR_00617,DEST_0017,bookmarked,,2025-08-19T11:09:43Z
INT_000170,USR_00313,DEST_0019,bookmarked,,2025-10-02T11:09:43Z
INT_000171,USR_00015,DEST_0105,viewed,,2025-10-07T11:09:43Z
INT_000172,USR_00665,DEST_0084,booked,,2026-01-22T11:09:43Z
INT_000173,USR_00402,DEST_0130,bookmarked,,2026-03-14T11:09:43Z
INT_000174,USR_00735,DEST_0170,viewed,,2026-03-16T11:09:43Z
INT_000175,USR_00871,DEST_0022,viewed,,2025-07-11T11:09:43Z
INT_000176,USR_00298,DEST_0168,viewed,,2026-02-03T11:09:43Z
INT_000177,USR_00681,DEST_0185,booked,,2025-10-28T11:09:43Z
INT_000178,USR_00236,DEST_0020,bookmarked,,2026-01-04T11:09:43Z
INT_000179,USR_00623,DEST_0013,viewed,,2026-04-17T11:09:43Z
INT_000180,USR_00577,DEST_0079,booked,,2025-08-11T11:09:43Z
INT_000181,USR_00381,DEST_0115,viewed,,2026-02-19T11:09:43Z
INT_000182,USR_00323,DEST_0115,viewed,,2026-05-15T11:09:43Z
INT_000183,USR_00386,DEST_0214,viewed,,2025-08-28T11:09:43Z
INT_000184,USR_00683,DEST_0018,bookmarked,,2025-11-06T11:09:43Z
INT_000185,USR_00137,DEST_0156,reviewed,4,2025-12-02T11:09:43Z
INT_000186,USR_00744,DEST_0131,bookmarked,,2026-03-14T11:09:43Z
INT_000187,USR_00668,DEST_0010,booked,,2025-07-08T11:09:43Z
INT_000188,USR_00763,DEST_0009,viewed,,2026-05-31T11:09:43Z
INT_000189,USR_00992,DEST_0173,viewed,,2026-02-23T11:09:43Z
INT_000190,USR_00765,DEST_0002,reviewed,3,2025-09-07T11:09:43Z
INT_000191,USR_00265,DEST_0263,bookmarked,,2026-05-05T11:09:43Z
INT_000192,USR_00064,DEST_0177,viewed,,2025-06-29T11:09:43Z
INT_000193,USR_00975,DEST_0244,bookmarked,,2025-10-28T11:09:43Z
INT_000194,USR_00921,DEST_0230,bookmarked,,2026-03-10T11:09:43Z
INT_000195,USR_00054,DEST_0252,viewed,,2025-08-30T11:09:43Z
INT_000196,USR_00482,DEST_0006,viewed,,2025-10-20T11:09:43Z
INT_000197,USR_00199,DEST_0230,bookmarked,,2025-08-24T11:09:43Z
INT_000198,USR_00389,DEST_0142,viewed,,2026-04-08T11:09:43Z
INT_000199,USR_00495,DEST_0150,bookmarked,,2026-06-19T11:09:43Z
INT_000200,USR_00111,DEST_0108,bookmarked,,2026-05-07T11:09:43Z
INT_000201,USR_00463,DEST_0022,bookmarked,,2025-08-16T11:09:43Z
INT_000202,USR_00891,DEST_0120,viewed,,2025-10-12T11:09:43Z
INT_000203,USR_00252,DEST_0107,bookmarked,,2026-02-08T11:09:43Z
INT_000204,USR_00435,DEST_0105,viewed,,2026-04-05T11:09:43Z
INT_000205,USR_00379,DEST_0240,bookmarked,,2026-05-28T11:09:43Z
INT_000206,USR_00080,DEST_0152,viewed,,2025-11-28T11:09:43Z
INT_000207,USR_00426,DEST_0120,bookmarked,,2026-01-01T11:09:43Z
INT_000208,USR_00198,DEST_0170,bookmarked,,2026-01-21T11:09:43Z
INT_000209,USR_00447,DEST_0045,reviewed,4,2026-01-12T11:09:43Z
INT_000210,USR_00131,DEST_0076,viewed,,2026-06-19T11:09:43Z
INT_000211,USR_00832,DEST_0076,viewed,,2025-10-05T11:09:43Z
INT_000212,USR_00797,DEST_0078,viewed,,2025-09-17T11:09:43Z
INT_000213,USR_00943,DEST_0071,booked,,2026-02-06T11:09:43Z
INT_000214,USR_00963,DEST_0003,bookmarked,,2025-12-01T11:09:43Z
INT_000215,USR_00903,DEST_0243,viewed,,2025-08-23T11:09:43Z
INT_000216,USR_00525,DEST_0181,viewed,,2025-07-31T11:09:43Z
INT_000217,USR_00588,DEST_0123,viewed,,2025-07-07T11:09:43Z
INT_000218,USR_00077,DEST_0023,viewed,,2025-11-18T11:09:43Z
INT_000219,USR_00630,DEST_0153,booked,,2026-01-20T11:09:43Z
INT_000220,USR_00609,DEST_0019,viewed,,2025-09-26T11:09:43Z
INT_000221,USR_00723,DEST_0019,viewed,,2026-02-21T11:09:43Z
INT_000222,USR_00011,DEST_0015,bookmarked,,2025-08-26T11:09:43Z
INT_000223,USR_00104,DEST_0249,reviewed,4,2025-08-28T11:09:43Z
INT_000224,USR_00823,DEST_0049,reviewed,4,2026-05-10T11:09:43Z
INT_000225,USR_00354,DEST_0123,viewed,,2025-10-03T11:09:43Z
INT_000226,USR_00538,DEST_0115,viewed,,2025-10-21T11:09:43Z
INT_000227,USR_00190,DEST_0008,bookmarked,,2025-06-28T11:09:43Z
INT_000228,USR_00559,DEST_0238,viewed,,2025-11-05T11:09:43Z
INT_000229,USR_00591,DEST_0208,viewed,,2025-09-30T11:09:43Z
INT_000230,USR_00622,DEST_0019,bookmarked,,2026-01-15T11:09:43Z
INT_000231,USR_00991,DEST_0022,viewed,,2026-04-06T11:09:43Z
INT_000232,USR_00176,DEST_0023,bookmarked,,2025-08-23T11:09:43Z
INT_000233,USR_00229,DEST_0091,bookmarked,,2026-04-09T11:09:43Z
INT_000234,USR_00867,DEST_0230,viewed,,2026-04-04T11:09:43Z
INT_000235,USR_00139,DEST_0088,booked,,2025-09-25T11:09:43Z
INT_000236,USR_00742,DEST_0260,viewed,,2026-04-21T11:09:43Z
INT_000237,USR_00828,DEST_0202,viewed,,2026-03-10T11:09:43Z
INT_000238,USR_00668,DEST_0165,bookmarked,,2025-07-16T11:09:43Z
INT_000239,USR_00281,DEST_0018,bookmarked,,2026-01-27T11:09:43Z
INT_000240,USR_00781,DEST_0177,viewed,,2025-09-23T11:09:43Z
INT_000241,USR_00283,DEST_0199,viewed,,2026-03-31T11:09:43Z
INT_000242,USR_00436,DEST_0019,viewed,,2025-08-24T11:09:43Z
INT_000243,USR_00448,DEST_0020,viewed,,2025-08-03T11:09:43Z
INT_000244,USR_00583,DEST_0269,reviewed,4,2025-08-11T11:09:43Z
INT_000245,USR_00325,DEST_0130,viewed,,2026-03-17T11:09:43Z
INT_000246,USR_00046,DEST_0214,viewed,,2026-04-12T11:09:43Z
INT_000247,USR_00942,DEST_0115,viewed,,2026-04-10T11:09:43Z
INT_000248,USR_00160,DEST_0226,reviewed,3,2025-10-05T11:09:43Z
INT_000249,USR_00265,DEST_0029,viewed,,2026-03-12T11:09:43Z
INT_000250,USR_00874,DEST_0264,booked,,2026-06-22T11:09:43Z
INT_000251,USR_00069,DEST_0058,viewed,,2026-02-04T11:09:43Z
INT_000252,USR_00500,DEST_0174,viewed,,2026-06-08T11:09:43Z
INT_000253,USR_00798,DEST_0004,viewed,,2025-07-22T11:09:43Z
INT_000254,USR_00878,DEST_0107,reviewed,4,2026-05-27T11:09:43Z
INT_000255,USR_00072,DEST_0178,reviewed,5,2026-01-27T11:09:43Z
INT_000256,USR_00500,DEST_0229,bookmarked,,2025-07-06T11:09:43Z
INT_000257,USR_00181,DEST_0078,reviewed,5,2026-01-06T11:09:43Z
INT_000258,USR_00516,DEST_0130,viewed,,2026-01-13T11:09:43Z
INT_000259,USR_00925,DEST_0228,bookmarked,,2025-07-18T11:09:43Z
INT_000260,USR_00132,DEST_0108,reviewed,4,2026-03-29T11:09:43Z
INT_000261,USR_00496,DEST_0001,reviewed,5,2026-06-24T11:09:43Z
INT_000262,USR_00218,DEST_0229,viewed,,2026-02-25T11:09:43Z
INT_000263,USR_00813,DEST_0258,viewed,,2026-01-29T11:09:43Z
INT_000264,USR_00750,DEST_0065,viewed,,2026-02-23T11:09:43Z
INT_000265,USR_00855,DEST_0253,viewed,,2026-02-25T11:09:43Z
INT_000266,USR_00617,DEST_0015,reviewed,4,2026-01-28T11:09:43Z
INT_000267,USR_00097,DEST_0148,booked,,2025-12-11T11:09:43Z
INT_000268,USR_00965,DEST_0186,viewed,,2025-12-13T11:09:43Z
INT_000269,USR_00893,DEST_0105,reviewed,4,2026-05-29T11:09:43Z
INT_000270,USR_00323,DEST_0005,viewed,,2025-10-27T11:09:43Z
INT_000271,USR_00974,DEST_0272,bookmarked,,2026-06-08T11:09:43Z
INT_000272,USR_00333,DEST_0237,bookmarked,,2026-04-18T11:09:43Z
INT_000273,USR_00932,DEST_0130,reviewed,4,2025-12-09T11:09:43Z
INT_000274,USR_00546,DEST_0219,booked,,2025-11-15T11:09:43Z
INT_000275,USR_00599,DEST_0130,bookmarked,,2025-08-21T11:09:43Z
INT_000276,USR_00790,DEST_0015,bookmarked,,2026-01-28T11:09:43Z
INT_000277,USR_00123,DEST_0011,viewed,,2026-03-23T11:09:43Z
INT_000278,USR_00853,DEST_0136,bookmarked,,2025-08-19T11:09:43Z
INT_000279,USR_00276,DEST_0015,viewed,,2026-05-05T11:09:43Z
INT_000280,USR_00459,DEST_0001,bookmarked,,2025-12-04T11:09:43Z
INT_000281,USR_00687,DEST_0261,booked,,2026-03-02T11:09:43Z
INT_000282,USR_00399,DEST_0165,viewed,,2026-04-17T11:09:43Z
INT_000283,USR_00130,DEST_0029,viewed,,2026-01-14T11:09:43Z
INT_000284,USR_00975,DEST_0130,reviewed,4,2025-09-03T11:09:43Z
INT_000285,USR_00080,DEST_0208,viewed,,2026-02-15T11:09:43Z
INT_000286,USR_00574,DEST_0255,reviewed,5,2026-02-28T11:09:43Z
INT_000287,USR_00298,DEST_0225,viewed,,2025-08-06T11:09:43Z
INT_000288,USR_00532,DEST_0180,bookmarked,,2025-08-03T11:09:43Z
INT_000289,USR_00035,DEST_0142,viewed,,2026-04-07T11:09:43Z
INT_000290,USR_00605,DEST_0006,bookmarked,,2025-11-21T11:09:43Z
INT_000291,USR_00526,DEST_0156,viewed,,2025-07-21T11:09:43Z
INT_000292,USR_00528,DEST_0135,viewed,,2025-10-05T11:09:43Z
INT_000293,USR_00156,DEST_0179,booked,,2025-11-18T11:09:43Z
INT_000294,USR_00624,DEST_0006,viewed,,2025-07-30T11:09:43Z
INT_000295,USR_00419,DEST_0076,bookmarked,,2026-03-15T11:09:43Z
INT_000296,USR_00072,DEST_0009,bookmarked,,2026-03-24T11:09:43Z
INT_000297,USR_00993,DEST_0136,bookmarked,,2025-11-13T11:09:43Z
INT_000298,USR_00588,DEST_0150,bookmarked,,2026-02-27T11:09:43Z
INT_000299,USR_00063,DEST_0269,viewed,,2026-06-27T11:09:43Z
INT_000300,USR_00327,DEST_0099,viewed,,2025-09-25T11:09:43Z
INT_000301,USR_00865,DEST_0257,viewed,,2026-02-28T11:09:43Z
INT_000302,USR_00461,DEST_0148,viewed,,2026-02-26T11:09:43Z
INT_000303,USR_00071,DEST_0049,bookmarked,,2025-10-12T11:09:43Z
INT_000304,USR_00191,DEST_0008,bookmarked,,2025-09-06T11:09:43Z
INT_000305,USR_00739,DEST_0119,booked,,2025-07-28T11:09:43Z
INT_000306,USR_00693,DEST_0064,viewed,,2026-03-09T11:09:43Z
INT_000307,USR_00860,DEST_0001,viewed,,2025-12-18T11:09:43Z
INT_000308,USR_00315,DEST_0260,viewed,,2026-04-27T11:09:43Z
INT_000309,USR_00793,DEST_0213,bookmarked,,2026-04-15T11:09:43Z
INT_000310,USR_00711,DEST_0150,bookmarked,,2026-04-07T11:09:43Z
INT_000311,USR_00299,DEST_0028,viewed,,2026-01-31T11:09:43Z
INT_000312,USR_00818,DEST_0270,bookmarked,,2025-11-20T11:09:43Z
INT_000313,USR_00982,DEST_0016,bookmarked,,2026-06-21T11:09:43Z
INT_000314,USR_00349,DEST_0007,reviewed,5,2025-09-02T11:09:43Z
INT_000315,USR_00797,DEST_0109,viewed,,2026-06-14T11:09:43Z
INT_000316,USR_00466,DEST_0227,viewed,,2025-09-19T11:09:43Z
INT_000317,USR_00412,DEST_0004,viewed,,2026-04-17T11:09:43Z
INT_000318,USR_00848,DEST_0179,viewed,,2025-11-20T11:09:43Z
INT_000319,USR_00099,DEST_0027,reviewed,3,2026-04-11T11:09:43Z
INT_000320,USR_00562,DEST_0194,bookmarked,,2026-03-12T11:09:43Z
INT_000321,USR_00071,DEST_0012,viewed,,2026-03-11T11:09:43Z
INT_000322,USR_00954,DEST_0199,viewed,,2025-10-26T11:09:43Z
INT_000323,USR_00597,DEST_0055,booked,,2026-05-14T11:09:43Z
INT_000324,USR_00986,DEST_0230,viewed,,2026-03-12T11:09:43Z
INT_000325,USR_00383,DEST_0009,booked,,2025-08-19T11:09:43Z
INT_000326,USR_00315,DEST_0265,viewed,,2025-10-10T11:09:43Z
INT_000327,USR_00753,DEST_0045,viewed,,2026-01-24T11:09:43Z
INT_000328,USR_00801,DEST_0037,booked,,2026-02-18T11:09:43Z
INT_000329,USR_00613,DEST_0004,bookmarked,,2026-06-10T11:09:43Z
INT_000330,USR_00426,DEST_0248,viewed,,2025-08-01T11:09:43Z
INT_000331,USR_00200,DEST_0254,bookmarked,,2025-08-07T11:09:43Z
INT_000332,USR_00712,DEST_0208,reviewed,4,2026-05-07T11:09:43Z
INT_000333,USR_00990,DEST_0155,bookmarked,,2026-01-13T11:09:43Z
INT_000334,USR_00908,DEST_0060,bookmarked,,2026-01-08T11:09:43Z
INT_000335,USR_00540,DEST_0023,viewed,,2026-01-26T11:09:43Z
INT_000336,USR_00805,DEST_0260,viewed,,2025-08-30T11:09:43Z
INT_000337,USR_00697,DEST_0137,viewed,,2026-06-14T11:09:43Z
INT_000338,USR_00441,DEST_0172,viewed,,2025-10-18T11:09:43Z
INT_000339,USR_00266,DEST_0131,booked,,2025-11-03T11:09:43Z
INT_000340,USR_00465,DEST_0243,bookmarked,,2025-10-30T11:09:43Z
INT_000341,USR_00958,DEST_0159,viewed,,2026-06-13T11:09:43Z
INT_000342,USR_00907,DEST_0201,bookmarked,,2025-12-07T11:09:43Z
INT_000343,USR_00987,DEST_0134,bookmarked,,2026-02-24T11:09:43Z
INT_000344,USR_00062,DEST_0075,viewed,,2025-07-03T11:09:43Z
INT_000345,USR_00693,DEST_0023,bookmarked,,2025-09-02T11:09:43Z
INT_000346,USR_00899,DEST_0152,viewed,,2025-08-09T11:09:43Z
INT_000347,USR_00745,DEST_0006,bookmarked,,2025-11-03T11:09:43Z
INT_000348,USR_00280,DEST_0219,bookmarked,,2026-02-12T11:09:43Z
INT_000349,USR_00242,DEST_0004,bookmarked,,2026-06-16T11:09:43Z
INT_000350,USR_00516,DEST_0246,bookmarked,,2026-03-28T11:09:43Z
INT_000351,USR_00715,DEST_0129,booked,,2025-09-13T11:09:43Z
