destination_name,district,province,latitude,longitude,category,development_stage,accessibility,activities,event_months
Kandy Lake Evening Walk,Kandy,Central,7.2919,80.635,Leisure,Developed,Easy Access,City Walk; Temple Visit,
Polonnaruwa Cycling Tour,Polonnaruwa,North Central,7.9403,81.0188,Leisure,Developed,Easy Access,Cycling; Heritage Walk,
Anuradhapura Cycling Tour,Anuradhapura,North Central,8.3114,80.4037,Leisure,Developed,Easy Access,Cycling; Heritage Walk,
Colombo Galle Face & City Tour,Colombo,Western,6.9271,79.8612,Leisure,Developed,Easy Access,City Walk; Shopping; Street Food,
Ambalangoda Mask Museum,Galle,Southern,6.2353,80.0536,Leisure,Developed,Easy Access,Museum Visit; Craft Workshop,
Nuwara Eliya Tea Factory Tour,Nuwara Eliya,Central,6.9667,80.7667,Leisure,Developed,Easy Access,Tea Factory Tour; Tasting,
Lipton's Seat Viewpoint,Badulla,Uva,6.8167,81.0667,Leisure,Developing,Moderate,Viewpoint; Tea Estate Walk,
Haputale Viewpoint & Tea Estates,Badulla,Uva,6.7667,80.95,Leisure,Developing,Moderate,Viewpoint; Tea Estate Walk,
Victoria Park Nuwara Eliya,Nuwara Eliya,Central,6.9678,80.7669,Leisure,Developed,Easy Access,Park Walk; Birdwatching,
Hakgala Botanical Garden,Nuwara Eliya,Central,6.9167,80.7833,Leisure,Developed,Easy Access,Botanical Garden Walk,
Royal Botanical Garden Peradeniya,Kandy,Central,7.2706,80.5972,Leisure,Developed,Easy Access,Botanical Garden Walk,
Ramboda Falls Visit,Nuwara Eliya,Central,7.05,80.7,Leisure,Developed,Moderate,Waterfall View; Photography,
St. Clair's & Devon Falls Viewpoint,Nuwara Eliya,Central,7.0333,80.6667,Leisure,Developed,Easy Access,Waterfall View; Photography,
Beruwala Beach Resort Leisure,Kalutara,Western,6.4789,79.9825,Leisure,Developed,Easy Access,Beach Relaxation; Spa,
Wadduwa Beach Escape,Kalutara,Western,6.6497,79.9264,Leisure,Developed,Easy Access,Beach Relaxation,
Sinharaja Forest Reserve Nature Walk,Ratnapura/Galle,Sabaragamuwa,6.4,80.5,Eco-Tourism,Developing,Remote,Rainforest Walk; Endemic Species Spotting,
Horton Plains Cloud Forest Eco Walk,Nuwara Eliya,Central,6.8058,80.7981,Eco-Tourism,Developed,Moderate,Nature Walk; Birdwatching,
Udawalawe Elephant Transit Home,Ratnapura,Sabaragamuwa,6.4333,80.8833,Eco-Tourism,Developed,Moderate,Elephant Conservation Visit,
Bundala Wetland Birdwatching,Hambantota,Southern,6.1975,81.2167,Eco-Tourism,Developing,Moderate,Birdwatching; Wetland Boat Ride,
Kumana Bird Sanctuary,Ampara,Eastern,6.5667,81.6667,Eco-Tourism,Emerging,Remote,Birdwatching,
Anawilundawa Ramsar Wetland,Puttalam,North Western,7.7333,79.8167,Eco-Tourism,Emerging,Remote,Birdwatching; Wetland Boat Ride,
Muthurajawela Marsh Boat Safari,Gampaha,Western,7.0667,79.8833,Eco-Tourism,Developing,Moderate,Wetland Boat Ride; Birdwatching,
Kalametiya Bird Sanctuary,Hambantota,Southern,6.0667,80.9333,Eco-Tourism,Undeveloped,Remote,Birdwatching,
Hurulu Eco Park,Polonnaruwa,North Central,8.1667,80.8833,Eco-Tourism,Developing,Moderate,Elephant Watching; Eco Safari,
Minneriya-Kaudulla Elephant Corridor,Polonnaruwa,North Central,8.05,80.95,Eco-Tourism,Developing,Moderate,Elephant Watching; Eco Safari,
Gal Oya Kudugala Village Eco Trek,Ampara,Eastern,7.1667,81.45,Eco-Tourism,Undeveloped,Remote,Eco Trek; Indigenous Community Visit,
Knuckles Conservation Forest Walk,Kandy/Matale,Central,7.4667,80.7833,Eco-Tourism,Developing,Remote,Forest Walk; Endemic Species Spotting,
Peak Wilderness Sanctuary Trek,Ratnapura,Sabaragamuwa,6.8,80.5,Eco-Tourism,Undeveloped,Remote,Forest Trek,
Kanneliya Rainforest Reserve,Galle,Southern,6.2333,80.35,Eco-Tourism,Developing,Remote,Rainforest Walk; Waterfall Visit,
Beddagana Wetland Park,Colombo,Western,6.8983,79.9067,Eco-Tourism,Developed,Easy Access,Wetland Walk; Birdwatching,
Diyasaru Wetland Park,Colombo,Western,6.8925,79.9086,Eco-Tourism,Developed,Easy Access,Wetland Walk; Birdwatching,
Thalangama Wetland Birdwatching,Colombo,Western,6.8886,79.9269,Eco-Tourism,Developing,Easy Access,Birdwatching,
Bellanwila-Attidiya Sanctuary,Colombo,Western,6.8408,79.8875,Eco-Tourism,Developing,Easy Access,Wetland Walk; Birdwatching,
Madu Ganga Mangrove Boat Tour,Galle,Southern,6.2667,80.05,Eco-Tourism,Developed,Easy Access,Mangrove Boat Ride; Cinnamon Island Visit,
Rekawa Turtle Conservation,Hambantota,Southern,6.05,80.85,Eco-Tourism,Developing,Moderate,Turtle Watching; Conservation Volunteering,
Kosgoda Turtle Hatchery,Galle,Southern,6.0847,80.0064,Eco-Tourism,Developed,Easy Access,Turtle Hatchery Visit,
Induruwa Turtle Conservation,Galle,Southern,6.05,80.0333,Eco-Tourism,Developing,Easy Access,Turtle Watching,
Panama-Kudumbigala Eco Reserve,Ampara,Eastern,6.9,81.7833,Eco-Tourism,Undeveloped,Remote,Forest Walk; Rock Hermitage Visit,
Kalpitiya Dolphin Watching Eco Tour,Puttalam,North Western,8.2333,79.7667,Eco-Tourism,Developing,Moderate,Dolphin Watching,
Mannar Bird Migration Watching,Mannar,Northern,8.981,79.9044,Eco-Tourism,Undeveloped,Remote,Birdwatching,
Delft Wild Pony Eco Tour,Jaffna,Northern,9.5333,79.6667,Eco-Tourism,Undeveloped,Remote,Wild Pony Watching; Island Eco Walk,
Kandy Esala Perahera,Kandy,Central,7.2906,80.6337,Cultural & Festival,Developed,Easy Access,Perahera Procession; Traditional Dance; Drumming Performance,"[7, 8]"
Kataragama Esala Perahera,Monaragala,Uva,6.4158,81.3355,Cultural & Festival,Developed,Moderate,Perahera Procession; Fire Walking; Kavadi Dance,"[7, 8]"
Nallur Festival (Nallur Kandaswamy Kovil),Jaffna,Northern,9.6707,80.0284,Cultural & Festival,Developed,Easy Access,Chariot Procession; Temple Rituals; Kavadi Dance,"[7, 8]"
Kochchikade St. Anthony's Feast,Colombo,Western,6.9396,79.8487,Cultural & Festival,Developed,Easy Access,Church Feast; Religious Procession,[6]
Vesak Festival (Colombo & Island-wide),Colombo,Western,6.9167,79.8563,Cultural & Festival,Developed,Easy Access,Lantern Display; Dansal Alms Giving; Pandal Viewing,[5]
Nuwara Eliya April Season,Nuwara Eliya,Central,6.9497,80.7891,Cultural & Festival,Developed,Easy Access,Horse Racing; Flower Show; Motor Racing,[4]
Sinhala & Tamil New Year Village Games,Anuradhapura,North Central,8.3114,80.4037,Cultural & Festival,Developed,Easy Access,Traditional Games; New Year Rituals; Village Carnival,[4]
Deepavali Festival (Colombo Kovils),Colombo,Western,6.8825,79.86,Cultural & Festival,Developed,Easy Access,Kovil Illumination; Sweet Making; Fireworks,"[10, 11]"
"Christmas Celebrations, Negombo",Gampaha,Western,7.2083,79.8358,Cultural & Festival,Developed,Easy Access,Church Service; Carol Singing; Festive Market,[12]
"New Year's Eve Countdown, Galle Face",Colombo,Western,6.9219,79.846,Cultural & Festival,Developed,Easy Access,Fireworks; Countdown Party; Live Music,"[12, 1]"
