event_id,event_name,posted_by_user_id,nearest_known_destination,district,province,event_date,true_latitude,true_longitude,reported_latitude,reported_longitude,submission_method,distance_error_m,location_accuracy_score,accuracy_tier,is_verified_for_display
EVT20019,Community New Year Carnival,U04581,Unawatuna Beach,Galle,Southern,2024-11-18,6.00527,80.23571,6.00718,80.23562,GPS Auto-Tag,212.3,76.7,Medium,True
EVT20020,Food & Craft Fair,U16647,Pigeon Island Snorkeling,Trincomalee,Eastern,2024-07-19,8.71648,81.18899,8.7159,81.18758,GPS Auto-Tag,167.9,81.1,Medium,True
EVT20021,Live Music Night,U11692,Mannar Bird Migration Watching,Mannar,Northern,2025-11-01,8.97298,79.90837,8.93892,79.87612,Typed Address,5176.7,0.2,Very Low,False
EVT20022,Beach Party,U08565,Beruwala Beach Resort Leisure,Kalutara,Western,2023-04-28,6.48088,79.98109,6.47943,79.97937,GPS Auto-Tag,248.3,73.3,Medium,True
EVT20023,Village Perahera,U14815,Kandy Esala Perahera,Kandy,Central,2023-08-21,7.30435,80.65213,7.30485,80.65154,GPS Auto-Tag,85.4,89.9,High,True
EVT20024,Private Wedding,U16311,Victoria Park Nuwara Eliya,Nuwara Eliya,Central,2024-01-24,6.9476,80.77381,6.94688,80.77562,GPS Auto-Tag,214.6,76.5,Medium,True
EVT20025,Temple/Kovil Special Pooja,U02278,Ravana Caves & Ella Wala Pool,Badulla,Uva,2024-03-25,6.85254,81.03397,6.85011,81.04331,Manual Map Pin,1064.8,26.4,Very Low,False
EVT20026,Food & Craft Fair,U15469,Muhudu Maha Vihara,Hambantota,Southern,2025-10-21,6.3482,81.48229,6.33887,81.48579,Typed Address,1105.9,25.1,Very Low,False
EVT20027,Full Moon Party,U04389,Hurulu Eco Park,Polonnaruwa,North Central,2023-04-09,8.14452,80.8783,8.15071,80.89695,Manual Map Pin,2161.5,6.7,Very Low,False
EVT20028,Community New Year Carnival,U00617,Meemure Village,Kandy,Central,2023-05-19,7.45554,80.80905,7.47927,80.83628,Typed Address,3989.6,0.7,Very Low,False
EVT20029,Pop-up Local Festival,U16916,Ambalangoda Mask Museum,Galle,Southern,2024-05-02,6.22994,80.05474,6.23092,80.05264,GPS Auto-Tag,255.8,72.6,Medium,True
EVT20030,Private Wedding,U00122,Laxapana Falls Trek,Nuwara Eliya,Central,2025-11-10,6.92289,80.4901,6.91603,80.46981,Typed Address,2361.2,5.2,Very Low,False
EVT20031,Corporate Retreat Event,U12742,Negombo Lagoon Boat Ride,Gampaha,Western,2025-08-20,7.22479,79.82384,7.24548,79.78932,Typed Address,4441.5,0.4,Very Low,False
EVT20032,Live Music Night,U05614,Minneriya Elephant Gathering,Polonnaruwa,North Central,2025-01-02,8.0286,80.90841,8.02597,80.9213,Manual Map Pin,1445.9,16.4,Very Low,False
EVT20033,Full Moon Party,U13804,Nallur Festival (Nallur Kandaswamy Kovil),Jaffna,Northern,2024-07-06,9.66983,80.01902,9.77509,79.96413,Typed Address,13136.8,0.0,Very Low,False
EVT20034,Food & Craft Fair,U10246,Kanniya Hot Springs,Trincomalee,Eastern,2023-11-14,8.58956,81.17328,8.57745,81.16032,Manual Map Pin,1957.2,8.7,Very Low,False
EVT20035,Beach Party,U03546,Kanneliya Rainforest Reserve,Galle,Southern,2025-10-22,6.24913,80.33217,6.2468,80.3331,GPS Auto-Tag,278.3,70.6,Medium,True
EVT20036,Temple/Kovil Special Pooja,U16812,Kumana Bird Sanctuary,Ampara,Eastern,2025-03-09,6.56737,81.66617,6.58218,81.66512,Manual Map Pin,1647.5,12.8,Very Low,False
EVT20037,Temple/Kovil Special Pooja,U13822,Wasgamuwa National Park Safari,Matale/Polonnaruwa,Central,2025-12-29,7.77958,80.93801,7.78484,80.9347,Manual Map Pin,688.3,42.3,Low,False
EVT20038,Temple/Kovil Special Pooja,U10969,Udawalawe National Park Safari,Ratnapura/Moneragala,Sabaragamuwa,2024-03-13,6.46788,80.88404,6.46935,80.88355,GPS Auto-Tag,171.2,80.7,Medium,True
EVT20039,Live Music Night,U14944,Polonnaruwa Cycling Tour,Polonnaruwa,North Central,2023-09-10,7.9647,81.01509,7.96647,81.01402,GPS Auto-Tag,228.6,75.1,Medium,True
EVT20040,Village Perahera,U09922,Nainativu & Nagadeepa,Jaffna,Northern,2025-01-08,9.57308,79.75243,9.5741,79.75378,GPS Auto-Tag,186.8,79.2,Medium,True
EVT20041,Community New Year Carnival,U00008,Bopath Ella Falls Trek,Ratnapura,Sabaragamuwa,2023-02-09,6.74539,80.36933,6.74662,80.36882,GPS Auto-Tag,147.5,83.2,Medium,True
EVT20042,Temple/Kovil Special Pooja,U02017,Panama-Kudumbigala Eco Reserve,Ampara,Eastern,2023-06-02,6.89385,81.78506,6.8948,81.7861,GPS Auto-Tag,155.0,82.4,Medium,True
EVT20043,Food & Craft Fair,U04124,Kitulgala White Water Rafting,Kegalle,Sabaragamuwa,2023-08-18,6.98329,80.41826,6.98281,80.41565,GPS Auto-Tag,293.0,69.3,Medium,True
EVT20044,Corporate Retreat Event,U11953,Hikkaduwa Diving & Surfing,Galle,Southern,2024-03-27,6.14277,80.09254,6.14016,80.09315,GPS Auto-Tag,297.5,68.9,Medium,True
EVT20045,Village Perahera,U16868,Mulkirigala Rock Monastery,Hambantota,Southern,2024-09-22,6.15649,80.87925,6.19527,80.91337,Typed Address,5718.9,0.1,Very Low,False
EVT20046,Pop-up Local Festival,U06397,Laxapana Falls Trek,Nuwara Eliya,Central,2023-11-24,6.93416,80.50524,6.94472,80.49925,Manual Map Pin,1344.9,18.6,Very Low,False
EVT20047,Food & Craft Fair,U02113,Beddagana Wetland Park,Colombo,Western,2024-04-07,6.8951,79.9194,6.89555,79.91895,GPS Auto-Tag,70.2,91.6,High,True
EVT20048,Food & Craft Fair,U09159,Sinharaja Forest Reserve Nature Walk,Ratnapura/Galle,Sabaragamuwa,2025-06-09,6.41004,80.507,6.41138,80.50545,GPS Auto-Tag,226.2,75.4,Medium,True
EVT20049,Community New Year Carnival,U07731,Diyasaru Wetland Park,Colombo,Western,2024-04-22,6.89069,79.9031,6.89025,79.90258,GPS Auto-Tag,75.9,90.9,High,True
EVT20050,Village Perahera,U05759,Wasgamuwa National Park Safari,Matale/Polonnaruwa,Central,2024-03-25,7.77676,80.91597,7.7767,80.91644,GPS Auto-Tag,51.9,93.7,High,True
EVT20051,Pop-up Local Festival,U10727,Nuwara Eliya Tea Factory Tour,Nuwara Eliya,Central,2024-10-18,6.96887,80.76969,6.96985,80.77065,GPS Auto-Tag,151.4,82.8,Medium,True
EVT20052,Community New Year Carnival,U17537,Ravana Falls Abseiling,Badulla,Uva,2023-03-01,6.8892,81.04488,6.9076,81.07678,Typed Address,4066.7,0.6,Very Low,False
EVT20053,Pop-up Local Festival,U14481,Nuwara Eliya April Season,Nuwara Eliya,Central,2024-03-23,6.93502,80.77912,6.9165,80.75516,Manual Map Pin,3345.8,1.5,Very Low,False
EVT20054,Full Moon Party,U12206,Bentota River Safari & Beach,Galle,Southern,2023-01-12,6.42678,79.9985,6.42814,80.0008,GPS Auto-Tag,296.0,69.1,Medium,True
EVT20055,Corporate Retreat Event,U08542,"New Year's Eve Countdown, Galle Face",Colombo,Western,2023-05-08,6.92269,79.84215,6.9161,79.83363,Manual Map Pin,1189.8,22.6,Very Low,False
EVT20056,Temple/Kovil Special Pooja,U11718,Nuwara Eliya Tea Factory Tour,Nuwara Eliya,Central,2024-12-28,6.96916,80.78213,6.96863,80.79036,Manual Map Pin,908.8,32.1,Low,False
EVT20057,Live Music Night,U00534,Nainativu & Nagadeepa,Jaffna,Northern,2023-08-29,9.58185,79.75551,9.5679,79.74651,Manual Map Pin,1834.6,10.1,Very Low,False
EVT20058,Private Wedding,U11375,Mannar Bird Migration Watching,Mannar,Northern,2025-03-25,8.98489,79.89723,9.01277,79.92967,Typed Address,4713.8,0.3,Very Low,False
EVT20059,Full Moon Party,U13620,Sinhala & Tamil New Year Village Games,Anuradhapura,North Central,2025-11-21,8.30905,80.41352,8.3278,80.42085,Typed Address,2232.2,6.1,Very Low,False
EVT20060,Food & Craft Fair,U05172,Hikkaduwa Diving & Surfing,Galle,Southern,2023-11-07,6.14128,80.08754,6.14179,80.08514,GPS Auto-Tag,270.1,71.3,Medium,True
EVT20061,Temple/Kovil Special Pooja,U08765,Weligama Surf School,Matara,Southern,2024-04-18,5.97184,80.41688,5.96367,80.42161,Manual Map Pin,1046.0,27.0,Very Low,False
EVT20062,Temple/Kovil Special Pooja,U07586,Wadduwa Beach Escape,Kalutara,Western,2025-10-20,6.64747,79.92469,6.64634,79.91135,Manual Map Pin,1475.9,15.8,Very Low,False
EVT20063,Community New Year Carnival,U17808,Kanneliya Rainforest Reserve,Galle,Southern,2024-07-21,6.2332,80.34238,6.23343,80.34582,GPS Auto-Tag,380.6,62.1,Medium,True
EVT20064,Corporate Retreat Event,U11160,Laxapana Falls Trek,Nuwara Eliya,Central,2024-06-24,6.94794,80.50425,6.91195,80.52867,Typed Address,4816.4,0.2,Very Low,False
EVT20065,Temple/Kovil Special Pooja,U05898,Dowa Rock Temple,Badulla,Uva,2025-03-16,6.88351,81.06203,6.87816,81.06247,GPS Auto-Tag,595.8,47.5,Low,False
EVT20066,Corporate Retreat Event,U16830,Nallur Festival (Nallur Kandaswamy Kovil),Jaffna,Northern,2025-12-08,9.67933,80.01456,9.68041,80.0113,GPS Auto-Tag,376.6,62.5,Medium,True
EVT20067,Pop-up Local Festival,U02508,Pigeon Island Snorkeling,Trincomalee,Eastern,2025-11-13,8.71892,81.18098,8.72584,81.17763,Manual Map Pin,851.4,34.5,Low,False
EVT20068,Full Moon Party,U06209,Kalpitiya Kite Surfing,Puttalam,North Western,2025-09-03,8.23403,79.75597,8.24202,79.75367,Manual Map Pin,922.9,31.5,Low,False
EVT20069,Pop-up Local Festival,U10246,Peak Wilderness Sanctuary Trek,Ratnapura,Sabaragamuwa,2023-09-11,6.81107,80.51861,6.80223,80.53981,Manual Map Pin,2534.5,4.2,Very Low,False
EVT20070,Temple/Kovil Special Pooja,U10421,Weligama Surf School,Matara,Southern,2025-11-14,5.96592,80.43917,5.96855,80.44297,GPS Auto-Tag,511.2,52.8,Low,False
EVT20071,Village Perahera,U16489,Sinhala & Tamil New Year Village Games,Anuradhapura,North Central,2025-07-11,8.32065,80.41293,8.29503,80.44912,Typed Address,4887.2,0.2,Very Low,False
EVT20072,Full Moon Party,U08960,Bundala Wetland Birdwatching,Hambantota,Southern,2025-06-04,6.19322,81.23131,6.19173,81.23187,GPS Auto-Tag,176.3,80.2,Medium,True
EVT20073,Community New Year Carnival,U10585,Ramboda Falls Visit,Nuwara Eliya,Central,2025-12-16,7.05569,80.72034,7.06987,80.74208,Typed Address,2866.1,2.8,Very Low,False
EVT20074,Village Perahera,U06062,Bundala Wetland Birdwatching,Hambantota,Southern,2024-08-14,6.19954,81.20684,6.19774,81.20265,GPS Auto-Tag,503.7,53.3,Low,False
EVT20075,Community New Year Carnival,U09343,Sinhala & Tamil New Year Village Games,Anuradhapura,North Central,2025-09-17,8.31716,80.41865,8.30978,80.40797,Manual Map Pin,1430.7,16.7,Very Low,False
EVT20076,Full Moon Party,U00756,Victoria Park Nuwara Eliya,Nuwara Eliya,Central,2024-05-14,6.96506,80.77361,6.96718,80.77393,GPS Auto-Tag,237.2,74.3,Medium,True
EVT20077,Village Perahera,U01962,"Christmas Celebrations, Negombo",Gampaha,Western,2024-09-15,7.20567,79.83531,7.2061,79.83286,GPS Auto-Tag,274.4,71.0,Medium,True
EVT20078,Corporate Retreat Event,U02270,Bogoda Wooden Bridge,Badulla,Uva,2025-09-15,6.94669,81.02017,6.93281,81.06623,Typed Address,5303.6,0.1,Very Low,False
EVT20079,Food & Craft Fair,U16112,Tangalle Beach Escape,Hambantota,Southern,2024-10-18,6.02121,80.78975,6.02959,80.79465,Manual Map Pin,1075.8,26.1,Very Low,False
EVT20080,Food & Craft Fair,U12512,Dowa Rock Temple,Badulla,Uva,2023-10-13,6.88292,81.03547,6.89896,81.0359,Manual Map Pin,1781.4,10.8,Very Low,False
EVT20081,Full Moon Party,U16127,Tangalle Beach Escape,Hambantota,Southern,2025-10-11,6.02695,80.79223,6.04612,80.80752,Manual Map Pin,2714.7,3.4,Very Low,False
EVT20082,Private Wedding,U16792,Sinharaja Rainforest Trekking,Ratnapura/Galle,Sabaragamuwa,2023-02-22,6.39459,80.50238,6.39321,80.50246,GPS Auto-Tag,152.9,82.6,Medium,True
EVT20083,Full Moon Party,U14311,Bopath Ella Falls Trek,Ratnapura,Sabaragamuwa,2023-07-27,6.72383,80.36001,6.72362,80.35929,GPS Auto-Tag,82.6,90.2,High,True
EVT20084,Food & Craft Fair,U15399,Kalpitiya Kite Surfing,Puttalam,North Western,2024-02-23,8.23378,79.76324,8.23416,79.7642,GPS Auto-Tag,113.3,86.8,High,True
EVT20085,Live Music Night,U06363,Pigeon Island Snorkeling,Trincomalee,Eastern,2023-05-05,8.71842,81.20601,8.71747,81.20525,GPS Auto-Tag,133.6,84.6,Medium,True
EVT20086,Pop-up Local Festival,U14099,Nuwara Eliya Tea Factory Tour,Nuwara Eliya,Central,2023-05-30,6.95801,80.78843,6.95963,80.79078,GPS Auto-Tag,315.1,67.4,Medium,True
EVT20087,Food & Craft Fair,U17330,Ravana Falls Abseiling,Badulla,Uva,2025-08-26,6.89287,81.07999,6.89882,81.09461,Manual Map Pin,1740.9,11.3,Very Low,False
EVT20088,Corporate Retreat Event,U03440,"New Year's Eve Countdown, Galle Face",Colombo,Western,2024-04-20,6.92665,79.86355,6.9362,79.85944,Manual Map Pin,1152.1,23.7,Very Low,False
EVT20089,Private Wedding,U09901,"Christmas Celebrations, Negombo",Gampaha,Western,2023-09-19,7.20202,79.84197,7.20161,79.84536,GPS Auto-Tag,376.7,62.4,Medium,True
EVT20090,Live Music Night,U07192,Delft Wild Pony Eco Tour,Jaffna,Northern,2023-11-12,9.52793,79.66688,9.52157,79.65286,Manual Map Pin,1689.9,12.1,Very Low,False
EVT20091,Full Moon Party,U00549,Kalametiya Bird Sanctuary,Hambantota,Southern,2025-07-09,6.05886,80.92607,6.06067,80.92472,GPS Auto-Tag,250.3,73.1,Medium,True
EVT20092,Food & Craft Fair,U13290,Wadduwa Beach Escape,Kalutara,Western,2024-11-19,6.657,79.93512,6.68212,79.92039,Typed Address,3226.5,1.8,Very Low,False
EVT20093,Full Moon Party,U07532,Negombo Lagoon Boat Ride,Gampaha,Western,2024-05-25,7.19023,79.82872,7.21406,79.81259,Typed Address,3186.0,1.9,Very Low,False
EVT20094,Live Music Night,U17896,Kosgoda Turtle Hatchery,Galle,Southern,2023-01-22,6.0724,79.99343,6.05803,79.98339,Manual Map Pin,1942.1,8.8,Very Low,False
EVT20095,Live Music Night,U10865,Kalpitiya Kite Surfing,Puttalam,North Western,2023-05-15,8.24064,79.75652,8.23077,79.75201,Manual Map Pin,1202.1,22.3,Very Low,False
EVT20096,Full Moon Party,U12217,Hakgala Botanical Garden,Nuwara Eliya,Central,2023-07-18,6.91513,80.78974,6.91595,80.78701,GPS Auto-Tag,314.5,67.5,Medium,True
EVT20097,Beach Party,U07138,Wasgamuwa National Park Safari,Matale/Polonnaruwa,Central,2025-03-31,7.78756,80.92415,7.78849,80.92419,GPS Auto-Tag,104.1,87.8,High,True
EVT20098,Village Perahera,U17603,Ella Rock & Little Adam's Peak Hike,Badulla,Uva,2024-10-08,6.85737,81.04357,6.86158,81.04086,Manual Map Pin,554.1,50.0,Low,False
EVT20099,Temple/Kovil Special Pooja,U05789,"Christmas Celebrations, Negombo",Gampaha,Western,2025-05-27,7.21208,79.83267,7.21442,79.83424,GPS Auto-Tag,311.4,67.8,Medium,True
EVT20100,Community New Year Carnival,U09513,Udawalawe Elephant Transit Home,Ratnapura,Sabaragamuwa,2025-09-29,6.42305,80.88341,6.42766,80.89685,Manual Map Pin,1567.9,14.1,Very Low,False
EVT20101,Village Perahera,U13743,Panama Village,Ampara,Eastern,2025-11-23,6.93042,81.77472,6.92938,81.77494,GPS Auto-Tag,118.2,86.3,High,True
EVT20102,Beach Party,U15908,Horton Plains Cloud Forest Eco Walk,Nuwara Eliya,Central,2025-01-19,6.78781,80.79207,6.78572,80.79388,GPS Auto-Tag,305.9,68.2,Medium,True
EVT20103,Corporate Retreat Event,U14496,Ritigala Forest Monastery,Anuradhapura,North Central,2023-06-09,8.1178,80.64278,8.11079,80.64957,Manual Map Pin,1078.0,26.0,Very Low,False
EVT20104,Corporate Retreat Event,U12769,Ritigala Forest Monastery,Anuradhapura,North Central,2023-08-16,8.10113,80.65646,8.10753,80.65109,Manual Map Pin,923.4,31.5,Low,False
EVT20105,Corporate Retreat Event,U07478,Rekawa Turtle Conservation,Hambantota,Southern,2024-09-17,6.04284,80.84268,6.04062,80.84284,GPS Auto-Tag,247.1,73.4,Medium,True
EVT20106,Beach Party,U14631,Nallur Festival (Nallur Kandaswamy Kovil),Jaffna,Northern,2025-06-23,9.68604,80.02816,9.6865,80.02479,GPS Auto-Tag,371.8,62.8,Medium,True
EVT20107,Village Perahera,U02887,Adam's Peak (Sri Pada) Climb,Ratnapura,Sabaragamuwa,2023-05-22,6.81957,80.50123,6.81493,80.50697,Manual Map Pin,816.0,36.1,Low,False
EVT20108,Village Perahera,U03562,Kosgoda Turtle Hatchery,Galle,Southern,2023-02-26,6.07993,79.99978,6.0539,80.02775,Typed Address,4228.3,0.5,Very Low,False
EVT20109,Beach Party,U10057,Yapahuwa Rock Fortress,Kurunegala,North Western,2024-06-22,7.84166,80.19591,7.84048,80.19548,GPS Auto-Tag,138.9,84.1,Medium,True
EVT20110,Food & Craft Fair,U12635,Aluvihare Rock Monastery,Matale,Central,2023-06-23,7.49014,80.61292,7.49235,80.6137,GPS Auto-Tag,259.5,72.3,Medium,True
EVT20111,Village Perahera,U06573,Bopath Ella Falls Trek,Ratnapura,Sabaragamuwa,2023-05-12,6.75982,80.37663,6.79844,80.34029,Typed Address,5867.1,0.1,Very Low,False
EVT20112,Village Perahera,U09412,Muthurajawela Marsh Boat Safari,Gampaha,Western,2023-11-22,7.07148,79.89095,7.06181,79.88182,Manual Map Pin,1471.0,15.9,Very Low,False
EVT20113,Pop-up Local Festival,U10390,Bogoda Wooden Bridge,Badulla,Uva,2025-09-16,6.96651,81.01107,6.99361,81.0316,Typed Address,3764.3,0.9,Very Low,False
EVT20114,Corporate Retreat Event,U10525,Vidattaltivu Lagoon,Mannar,Northern,2025-10-22,8.9426,80.04145,8.94296,80.04068,GPS Auto-Tag,93.2,89.0,High,True
EVT20115,Food & Craft Fair,U01693,Minneriya Elephant Gathering,Polonnaruwa,North Central,2023-02-06,8.01867,80.91218,8.02005,80.91324,GPS Auto-Tag,192.7,78.6,Medium,True
EVT20116,Village Perahera,U17082,Horton Plains Cloud Forest Eco Walk,Nuwara Eliya,Central,2024-05-06,6.82054,80.81186,6.82155,80.81175,GPS Auto-Tag,113.1,86.8,High,True
EVT20117,Village Perahera,U01724,Madu Ganga Mangrove Boat Tour,Galle,Southern,2024-03-08,6.27155,80.04852,6.2599,80.07227,Manual Map Pin,2921.9,2.6,Very Low,False
EVT20118,Temple/Kovil Special Pooja,U01413,Kalametiya Bird Sanctuary,Hambantota,Southern,2024-06-26,6.08031,80.92402,6.09074,80.92335,Manual Map Pin,1160.8,23.4,Very Low,False
EVT20119,Village Perahera,U04347,Yala National Park Safari,Hambantota,Southern,2024-02-08,6.36816,81.53288,6.37106,81.53198,GPS Auto-Tag,336.4,65.7,Medium,True
EVT20120,Beach Party,U17519,Royal Botanical Garden Peradeniya,Kandy,Central,2025-09-10,7.25992,80.59,7.2595,80.58881,GPS Auto-Tag,139.2,84.0,Medium,True
EVT20121,Live Music Night,U08089,Yala National Park Safari,Hambantota,Southern,2025-04-25,6.37043,81.51799,6.37197,81.50805,Manual Map Pin,1110.2,25.0,Very Low,False
EVT20122,Private Wedding,U09954,Gal Oya Boat Safari,Ampara,Eastern,2024-10-03,7.16534,81.44892,7.16434,81.44796,GPS Auto-Tag,152.9,82.6,Medium,True
EVT20123,Beach Party,U00329,Minneriya-Kaudulla Elephant Corridor,Polonnaruwa,North Central,2023-11-26,8.05649,80.94083,8.05791,80.9343,Manual Map Pin,735.3,39.9,Low,False
EVT20124,Private Wedding,U16614,Negombo Lagoon Boat Ride,Gampaha,Western,2023-07-19,7.19968,79.85884,7.19931,79.86177,GPS Auto-Tag,325.9,66.5,Medium,True
EVT20125,Full Moon Party,U11691,Mannar Bird Migration Watching,Mannar,Northern,2023-09-12,8.97397,79.89913,8.9748,79.89922,GPS Auto-Tag,92.3,89.1,High,True
EVT20126,Pop-up Local Festival,U13476,Royal Botanical Garden Peradeniya,Kandy,Central,2024-08-12,7.27021,80.59772,7.2143,80.57868,Typed Address,6550.9,0.0,Very Low,False
EVT20127,Food & Craft Fair,U15971,Adam's Peak (Sri Pada) Climb,Ratnapura,Sabaragamuwa,2024-01-10,6.80804,80.4968,6.80762,80.49885,GPS Auto-Tag,230.7,74.9,Medium,True
EVT20128,Private Wedding,U06302,Udawalawe National Park Safari,Ratnapura/Moneragala,Sabaragamuwa,2025-06-16,6.45807,80.91474,6.45749,80.91429,GPS Auto-Tag,81.6,90.3,High,True
EVT20129,Temple/Kovil Special Pooja,U09166,Weligama Surf School,Matara,Southern,2024-01-05,5.97177,80.41667,5.97074,80.41662,GPS Auto-Tag,114.2,86.7,High,True
EVT20130,Community New Year Carnival,U11517,Kumana Bird Sanctuary,Ampara,Eastern,2025-01-10,6.56866,81.63776,6.57196,81.64953,Manual Map Pin,1349.2,18.5,Very Low,False
EVT20131,Private Wedding,U12695,Delft Wild Pony Eco Tour,Jaffna,Northern,2023-11-27,9.5355,79.67018,9.5345,79.67236,GPS Auto-Tag,262.9,72.0,Medium,True
EVT20132,Food & Craft Fair,U15470,Kitulgala White Water Rafting,Kegalle,Sabaragamuwa,2025-03-17,6.96399,80.41228,6.96235,80.40964,GPS Auto-Tag,343.2,65.1,Medium,True
EVT20133,Private Wedding,U10711,Hiriwadunna Village,Anuradhapura,North Central,2023-11-17,7.98065,80.76758,7.96529,80.76131,Manual Map Pin,1840.0,10.0,Very Low,False
EVT20134,Community New Year Carnival,U03318,Haputale Viewpoint & Tea Estates,Badulla,Uva,2024-11-09,6.7693,80.95433,6.7667,80.95279,Manual Map Pin,335.1,65.8,Medium,True
EVT20135,Full Moon Party,U07676,Beruwala Beach Resort Leisure,Kalutara,Western,2025-12-13,6.46375,79.99035,6.46425,79.98962,Manual Map Pin,97.4,88.5,High,True
EVT20136,Food & Craft Fair,U08354,Nuwara Eliya Tea Factory Tour,Nuwara Eliya,Central,2024-07-09,6.95997,80.76387,6.96006,80.76306,GPS Auto-Tag,90.3,89.3,High,True
EVT20137,Food & Craft Fair,U01259,Rathnapura Gem Mining Tour,Ratnapura,Sabaragamuwa,2025-08-10,6.68089,80.4055,6.67155,80.39174,Typed Address,1837.2,10.1,Very Low,False
EVT20138,Village Perahera,U11938,Wasgamuwa National Park Safari,Matale/Polonnaruwa,Central,2023-08-02,7.79678,80.92071,7.7861,80.92153,Manual Map Pin,1189.3,22.6,Very Low,False
EVT20139,Food & Craft Fair,U08749,Kumana Bird Sanctuary,Ampara,Eastern,2024-11-23,6.57294,81.67558,6.58341,81.67785,Manual Map Pin,1189.5,22.6,Very Low,False
EVT20140,Private Wedding,U06336,Horton Plains & World's End Hike,Nuwara Eliya,Central,2024-12-04,6.81157,80.79453,6.81602,80.783,Manual Map Pin,1363.7,18.2,Very Low,False
EVT20141,Temple/Kovil Special Pooja,U09000,Haputale Viewpoint & Tea Estates,Badulla,Uva,2023-03-15,6.75947,80.9465,6.75953,80.94668,GPS Auto-Tag,20.6,97.5,High,True
EVT20142,Village Perahera,U17611,Kandy Esala Perahera,Kandy,Central,2024-02-06,7.29152,80.63547,7.2893,80.63131,GPS Auto-Tag,519.1,52.3,Low,False
